ms,delay,rtt
0, 53, 50
4, 49, 49
17, 47, 46
24, 46, 46
25, 49, 49
33, 57, 47
67, 49, 48
83, 46, 46
100, 47, 47
118, 54, 52
133, 50, 48
151, 51, 51
167, 56, 54
184, 56, 56
203, 51, 49
218, 50, 47
236, 92, 86
250, 88, 83
267, 138, 101
285, 130, 129
301, 114, 114
317, 107, 98
334, 125, 122
350, 109, 109
384, 126, 126
416, 124, 94
434, 387, 387
467, 354, 354
500, 321, 321
533, 290, 290
550, 273, 273
584, 239, 239
650, 219, 173
712, 149, 111
765, 59, 59
815, 55, 50
826, 51, 50
850, 57, 49
883, 55, 55
900, 50, 47
916, 61, 46
933, 48, 48
950, 46, 46
969, 48, 47
983, 54, 52
1002, 48, 47
1016, 53, 52
1034, 64, 63
1050, 54, 48
1068, 55, 46
1083, 54, 52
1101, 50, 49
1117, 58, 57
1133, 67, 62
1150, 74, 65
1168, 61, 57
1183, 57, 51
1201, 54, 51
1216, 54, 54
1235, 47, 46
1250, 47, 47
1267, 102, 74
1283, 93, 93
1301, 75, 75
1318, 65, 58
1333, 80, 68
1351, 111, 104
1367, 95, 95
1401, 86, 82
1416, 2540, 2538
1450, 2515, 2514
1483, 2482, 2482
1500, 3405, 2465
1550, 3355, 2415
1669, 3283, 2300
1719, 3216, 2251
1769, 3175, 2201
1819, 3121, 2151
1919, 3076, 2065
2019, 2962, 1965
2123, 2846, 1862
2234, 2883, 142
5405, 1113, 1113
5417, 1148, 1148
5431, 1134, 1134
5434, 1262, 1262
5434, 1263, 1262
5442, 1488, 1255
5450, 1480, 1247
5455, 1475, 1242
5455, 1475, 1242
5483, 1447, 1214
5501, 1429, 1196
5517, 1413, 1180
5534, 2542, 1355
5549, 2527, 1340
6950, 1283, 1283
8267, 153, 123
8285, 135, 135
8294, 126, 126
8301, 127, 127
8314, 114, 114
8315, 113, 113
8317, 111, 111
8317, 111, 111
8324, 104, 104
8334, 95, 95
8364, 95, 95
8364, 95, 95
8367, 92, 92
8374, 87, 87
8374, 88, 88
8379, 83, 83
8384, 78, 78
8384, 78, 78
8389, 74, 73
8401, 68, 62
8401, 72, 69
8405, 69, 68
8417, 59, 58
8433, 55, 54
8451, 59, 55
8484, 55, 47
8500, 51, 51
8517, 52, 46
8534, 46, 46
8550, 53, 47
8566, 50, 49
8583, 53, 48
8600, 51, 49
8616, 51, 49
8634, 99, 86
8650, 87, 84
8667, 70, 70
8684, 54, 54
8700, 54, 53
8716, 49, 49
8749, 49, 48
8767, 54, 48
8783, 49, 48
8800, 52, 47
8817, 48, 47
8834, 51, 51
8850, 48, 47
8868, 47, 46
8884, 47, 47
8901, 48, 48
8917, 108, 108
8934, 91, 91
8950, 88, 83
8966, 72, 72
8983, 57, 57
9000, 50, 48
9035, 51, 51
9051, 54, 52
9067, 56, 46
9083, 47, 47
9100, 58, 51
9117, 47, 46
9168, 1180, 1104
9184, 1164, 1088
9202, 1206, 1070
9217, 1192, 1056
9252, 1157, 1021
9385, 1151, 888
9435, 1080, 838
9485, 1040, 789
9536, 990, 738
9586, 939, 689
9688, 883, 588
9791, 765, 485
9894, 666, 384
10495, 487, 485
10504, 478, 478
10605, 466, 377
10705, 278, 278
10717, 266, 266
10718, 266, 266
10724, 260, 260
10728, 256, 256
10733, 251, 251
10745, 239, 239
10754, 230, 230
10767, 217, 217
10774, 210, 210
10889, 192, 96
10983, 124, 49
11000, 48, 47
11015, 57, 49
11035, 49, 49
11084, 51, 50
11094, 53, 53
11117, 47, 47
11150, 49, 49
11183, 49, 47
11200, 50, 50
11217, 49, 49
11250, 52, 52
11267, 47, 47
11284, 49, 48
11301, 51, 51
11316, 51, 51
11334, 54, 53
11350, 51, 51
11367, 47, 47
11383, 52, 52
11400, 51, 51
11417, 49, 48
11433, 47, 47
11450, 54, 54
11468, 49, 49
11483, 51, 51
11501, 872, 48
11567, 947, 823
11584, 930, 807
11617, 897, 774
11734, 810, 657
11786, 765, 605
11836, 704, 555
11888, 653, 503
11939, 610, 454
12042, 551, 352
12145, 435, 249
12247, 338, 148
12355, 295, 57
12517, 64, 64
12534, 58, 58
12560, 64, 59
12564, 59, 55
12565, 58, 58
12575, 63, 63
12592, 50, 49
12594, 51, 48
12603, 48, 48
12618, 46, 46
12635, 49, 49
12651, 51, 51
12667, 70, 66
12684, 57, 57
12718, 60, 60
12734, 63, 63
12750, 64, 64
12767, 55, 54
12783, 53, 50
12800, 49, 49
12816, 83, 79
12834, 73, 73
12850, 70, 61
12867, 55, 55
12900, 45, 45
12917, 51, 51
12934, 61, 59
12952, 47, 47
12967, 47, 47
12983, 50, 49
12999, 57, 51
13017, 55, 54
13034, 56, 52
13050, 57, 55
13066, 59, 58
13083, 60, 59
13099, 54, 49
13117, 48, 47
13133, 80, 73
13151, 62, 62
13168, 95, 86
13184, 79, 79
13199, 64, 64
13218, 169, 168
13251, 136, 136
13267, 177, 177
13417, 96, 92
13467, 48, 48
13484, 157, 153
13500, 142, 142
13519, 123, 123
13533, 109, 109
13550, 93, 92
13600, 48, 48
13650, 53, 51
13667, 47, 47
13685, 47, 47
13702, 55, 55
13717, 48, 48
13733, 49, 49
13750, 47, 47
13767, 72, 69
13783, 56, 56
13803, 56, 51
13817, 57, 55
13834, 63, 63
13850, 54, 54
13867, 66, 47
13883, 52, 52
13900, 70, 67
13917, 53, 53
13936, 50, 49
13950, 61, 61
13967, 51, 51
13984, 47, 47
14001, 48, 48
14017, 53, 53
14033, 48, 47
14050, 51, 51
14066, 59, 59
14084, 48, 48
14100, 47, 47
14118, 48, 48
14133, 50, 50
14150, 48, 48
14167, 49, 48
14184, 50, 50
14200, 52, 51
14217, 55, 50
14233, 50, 49
14251, 57, 55
14267, 53, 48
14284, 66, 57
14300, 56, 50
14318, 48, 46
14333, 54, 50
14351, 50, 48
14366, 58, 48
14384, 51, 48
14401, 51, 48
14417, 49, 48
14435, 52, 52
14450, 61, 48
14469, 49, 49
14500, 51, 51
14517, 50, 49
14550, 48, 48
14567, 53, 48
14583, 51, 49
14600, 53, 52
14616, 51, 48
14634, 67, 60
14650, 54, 51
14667, 53, 49
14684, 73, 52
14700, 61, 60
14717, 52, 49
14733, 54, 51
14750, 54, 53
14784, 54, 52
14801, 62, 62
14817, 48, 48
14834, 67, 67
14850, 51, 51
14869, 55, 54
14885, 55, 55
14900, 65, 65
14917, 53, 53
14935, 55, 55
14951, 48, 48
14969, 68, 60
14984, 87, 70
15000, 72, 71
15017, 59, 55
15034, 81, 79
15050, 69, 67
15067, 52, 52
15100, 74, 74
15117, 58, 58
15133, 71, 71
15150, 55, 55
15167, 91, 91
15217, 50, 50
15233, 148, 64
15250, 133, 133
15267, 117, 117
15317, 304, 304
15351, 1034, 1034
15383, 1710, 1002
15417, 1676, 969
15434, 1659, 952
15517, 1576, 869
15568, 1525, 1494
15622, 1471, 1454
15673, 1420, 1404
15724, 1374, 1353
15774, 1323, 1303
15825, 1273, 1252
15936, 1223, 1141
