method,signal,time,fs,throughput,usr,sys,irq,cpu,wifi
cubic,-54.0,0.295,256.0,6.78,2,9,2,13,ac
udp,-56.0,0.316,256.0,6.329,2,7,1,10,ac
cubic,-53.0,0.367,1000.0,21.287,3,9,4,16,ac
quic,-54.0,0.239,1000.0,32.688,1,6,4,11,ac
smart,-49.0,0.132,1000.0,59.186,1,3,3,7,ac
cubic,-50.0,0.488,5000.0,80.046,3,27,9,39,ac
udp,-50.0,0.416,5000.0,93.9,3,13,4,20,ac
cubic,-57.0,0.585,10000.0,133.547,5,31,13,49,ac
quic,-57.0,0.879,10000.0,88.879,9,52,27,88,ac
smart,-56.0,0.274,10000.0,285.128,1,13,5,19,ac
cubic,-57.0,20.083,1000000,389.011,60,1542,562,2164,ac
udp,-58.0,20.675,1000000,377.872,37,1117,292,1446,ac
cubic,-55.0,58.429,3000000.0,401.128,141,4630,1840,6611,ac
quic,-55.0,96.525,3000000.0,242.813,1059,7173,1557,9789,ac
smart,-55.0,49.484,3000000.0,473.638,140,3169,1143,4452,ac
cubic,-55.0,0.317,256.0,6.309,2,7,2,11,ac
udp,-55.0,0.299,256.0,6.689,2,10,2,14,ac
cubic,-55.0,0.362,1000.0,21.581,2,11,4,17,ac
quic,-57.0,0.332,1000.0,23.532,3,7,6,16,ac
smart,-49.0,0.137,1000.0,57.026,1,3,2,6,ac
cubic,-54.0,0.468,5000.0,83.467,3,20,8,31,ac
udp,-57.0,0.401,5000.0,97.413,2,11,4,17,ac
cubic,-54.0,0.565,10000.0,138.274,4,32,12,48,ac
quic,-54.0,0.744,10000.0,105.007,7,45,23,75,ac
smart,-54.0,0.291,10000.0,268.471,5,14,5,24,ac
cubic,-54.0,20.839,1000000,374.898,60,1678,570,2308,ac
udp,-55.0,20.996,1000000,372.095,33,1129,300,1462,ac
cubic,-58.0,58.347,3000000.0,401.692,144,4733,2131,7008,ac
quic,-59.0,93.089,3000000.0,251.775,1113,7194,1566,9873,ac
smart,-55.0,50.436,3000000.0,464.698,143,3174,1262,4579,ac
cubic,-55.0,0.325,256.0,6.154,5,5,2,12,ac
udp,-54.0,0.299,256.0,6.689,3,8,1,12,ac
cubic,-54.0,0.363,1000.0,21.522,3,10,4,17,ac
quic,-55.0,0.296,1000.0,26.394,1,9,5,15,ac
smart,-50.0,0.121,1000.0,64.566,2,4,2,8,ac
cubic,-57.0,0.465,5000.0,84.005,5,26,9,40,ac
udp,-55.0,0.405,5000.0,96.451,5,12,3,20,ac
cubic,-54.0,0.577,10000.0,135.399,5,30,12,47,ac
quic,-55.0,0.826,10000.0,94.582,9,46,25,80,ac
smart,-54.0,0.297,10000.0,263.047,4,12,6,22,ac
cubic,-57.0,20.016,1000000,390.313,51,1546,542,2139,ac
udp,-55.0,20.738,1000000,376.724,61,1148,293,1502,ac
cubic,-58.0,57.504,3000000.0,407.58,133,4617,1687,6437,ac
quic,-55.0,95.469,3000000.0,245.499,1137,7091,1529,9757,ac
smart,-55.0,49.188,3000000.0,476.488,148,3082,1259,4489,ac
cubic,-55.0,0.35,256.0,5.714,2,7,2,11,ac
udp,-55.0,0.301,256.0,6.645,6,9,2,17,ac
cubic,-55.0,0.34,1000.0,22.978,4,8,2,14,ac
quic,-54.0,1.277,10000.0,61.179,8,44,26,78,ac
smart,-57.0,0.283,10000.0,276.06,3,12,6,21,ac
cubic,-54.0,20.052,1000000,389.612,61,1615,551,2227,ac
udp,-54.0,20.161,1000000,387.506,35,1099,286,1420,ac
cubic,-57.0,58.706,3000000.0,399.235,202,4779,1681,6662,ac
cubic,-17.0,15.944,1000000,489.996,67,1349,472,1888,ac
udp,-16.0,16.017,1000000,487.763,25,851,234,1110,ac
cubic,-17.0,16.597,1000000,470.718,51,1380,485,1916,ac
quic,-16.0,25.159,1000000,310.525,368,2124,773,3265,ac
smart,-17.0,11.918,1000000,655.521,30,916,207,1153,ac
cubic,-17.0,16.895,1000000,462.415,55,1388,488,1931,ac
udp,-17.0,15.909,1000000,491.074,36,858,233,1127,ac
cubic,-17.0,18.352,1000000,425.703,49,1477,531,2057,ac
quic,-17.0,29.655,1000000,263.446,338,2261,669,3268,ac
smart,-17.0,11.843,1000000,659.672,26,904,207,1137,ac
cubic,-18.0,16.313,1000000,478.913,53,1349,472,1874,ac
udp,-17.0,16.019,1000000,487.702,21,849,234,1104,ac
cubic,-17.0,16.566,1000000,471.598,38,1357,484,1879,ac
quic,-17.0,30.265,1000000,258.136,360,2307,670,3337,ac
smart,-17.0,11.88,1000000,657.618,20,905,208,1133,ac
cubic,-18.0,17.126,1000000,456.178,49,1457,491,1997,ac
udp,-17.0,16.009,1000000,488.007,20,870,234,1124,ac
cubic,-18.0,16.231,1000000,481.332,17,1300,450,1767,ac
quic,-17.0,30.576,1000000,255.511,313,2289,549,3151,ac
smart,-18.0,11.899,1000000,656.568,19,909,204,1132,ac
cubic,-17.0,18.309,1000000,426.703,16,1461,535,2012,ac
udp,-18.0,15.945,1000000,489.966,7,844,230,1081,ac
cubic,-15.0,17.42,1000000,448.479,13,1369,481,1863,ac
quic,-17.0,21.416,1000000,364.797,277,1974,777,3028,ac
smart,-18.0,11.912,1000000,655.851,11,897,202,1110,ac
cubic,-18.0,17.676,1000000,441.983,18,1361,502,1881,ac
udp,-17.0,15.991,1000000,488.556,9,853,231,1093,ac
cubic,-18.0,16.573,1000000,471.399,24,1402,471,1897,ac
quic,-17.0,24.471,1000000,319.255,280,2051,736,3067,ac
smart,-17.0,11.926,1000000,655.081,13,895,205,1113,ac
cubic,-18.0,17.271,1000000,452.348,20,1419,485,1924,ac
udp,-18.0,16.007,1000000,488.068,4,846,232,1082,ac
cubic,-18.0,18.024,1000000,433.45,17,1493,527,2037,ac
quic,-17.0,31.562,1000000,247.529,288,2316,568,3172,ac
smart,-19.0,11.886,1000000,657.286,7,892,204,1103,ac
cubic,-17.0,16.591,1000000,470.888,26,1312,468,1806,ac
udp,-17.0,15.989,1000000,488.617,5,851,231,1087,ac
cubic,-18.0,16.3,1000000,479.294,19,1350,459,1828,ac
quic,-18.0,26.103,1000000,299.295,276,2085,756,3117,ac
smart,-17.0,12.041,1000000,648.825,20,926,214,1160,ac
cubic,-17.0,16.549,1000000,472.083,26,1432,487,1945,ac
cubic,-56.0,27.285,1000000,286.329,129,1989,982,3100,ac
udp,-56.0,28.73,1000000,271.928,91,1544,422,2057,ac
cubic,-56.0,24.781,1000000,315.262,103,1987,642,2732,ac
quic,-55.0,45.561,1000000,171.473,519,2930,939,4388,ac
smart,-55.0,17.548,1000000,445.207,118,1275,309,1702,ac
cubic,-56.0,20.485,1000000,381.377,52,1597,628,2277,ac
udp,-56.0,22.191,1000000,352.057,45,1219,315,1579,ac
cubic,-52.0,20.463,1000000,381.787,39,1602,623,2264,ac
quic,-54.0,34.671,1000000,225.332,373,2482,526,3381,ac
smart,-55.0,17.303,1000000,451.511,41,1168,282,1491,ac
cubic,-56.0,21.858,1000000,357.421,49,1694,568,2311,ac
